French name,,Riz local Gambiaka,Riz brisé importé,Mil,Riz importé parfumé,Sorgho,Maïs,Riz local fumé,Autres viandes,Gibiers,Semoule de mil,Poulet sur pied,Farine de blé,Huile de coton,Farine de mil,Viande de mouton,Huile de palme,Semoule de mais,Viande de chèvre,Sucre poudre,Huile d'arachide
English name,,Local Gambiaka Rice (nutrients from White rice),"
Imported broken rice (nutrients from White rice)",millet (whole grain),imported fragrant rice,sorghum (flour),"corn (sweet, yellow and white kernels,  fresh, raw)",smoked local rice (nutreints from white long grain rice),other meats,wild game (nutrients of Lean beef),millet couscous,chicken feet,wheat flour,cottonseed oil,millet flour,mutton,palm oil,cornmeal,goat meat,caster sugar,peanut oil
"Sodium, Na",mg,0,0,< 2.5,1,< 2.5,< 2.5,0,64,64,2,86,2,0,4,72,0,9,86,1,0
Energy (Atwater General Factors),kcal,359,359,376,130,375,85,359,183,183,119,190,364,884,382,294,884,381,143,387,884
Protein,g,7.04,7.04,10,2.69,8.27,2.79,7.04,30.55,30.55,3.51,28.93,10.33,0,10.75,24.52,0,0.26,27.1,0,0
"Fiber, total dietary",g,0.1,0.1,2.6,0.4,6,2.4,0.1,0,0,1.3,0,2.7,0,3.5,0,0,0.9,0,0,0
"Folate, DFE",µg,,,,97,,,,10,10,19,6,291,0,42,18,0,0,5,0,0
"Calcium, Ca",mg,4,4,9,10,11,1,4,20,20,3,15,15,0,14,17,0,2,17,1,0
"Carbohydrate, by difference",g,80.3,80.3,74.4,28.17,77.4,14.7,80.3,0,0,23.67,0,76.31,0,75.12,0,0,91.27,0,99.98,0
"Iron, Fe",mg,0.14,0.14,2.53,1.2,3.72,0.39,0.14,1.96,1.96,0.63,1.21,4.64,0,3.94,1.88,0.01,0.47,3.73,0.05,0.03
"Magnesium, Mg",mg,26.5,26.5,106,12,116,25.8,26.5,26,26,44,25,22,0,119,23,0,3,0,0,0
Niacin,mg,1.43,1.43,4.86,1.476,3.95,1.59,1.43,8.741,8.741,1.33,9.173,5.904,0,6.02,6.66,0,0,3.95,0,0
"Phosphorus, P",mg,108,108,258,43,262,75,108,244,244,100,195,108,0,285,188,0,13,201,0,0
"Potassium, K",mg,82,82,214,35,335,237,82,393,393,62,243,107,0,224,310,0,3,405,2,0
Riboflavin,mg,0.08,0.08,0.136,0.013,0.15,0.138,0.08,0.155,0.155,0.082,0.178,0.494,0,0.073,0.25,0,0,0.61,0.019,0
Thiamin,mg,0.065,0.065,0.411,0.163,0.27,0.079,0.065,0.083,0.083,0.106,0.069,0.785,0,0.413,0.1,0,0,0.09,0,0
"Vitamin A, RAE",µg,,,,0,,,,0,0,0,16,0,0,,0,0,0,0,0,0
Vitamin B-12,µg,,,,0,,,,1.71,1.71,0,0.33,0,0,,2.55,0,0,1.19,0,0
Vitamin B-6,mg,0.058,0.058,0.192,0.093,0.166,0.15,0.058,0.656,0.656,0.108,0.47,0.044,0,0.372,0.13,0,0,0,0,0
"Vitamin C, total ascorbic acid",mg,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin E (alpha-tocopherol),mg,,,,0.04,,,,0.39,0.39,0.02,0.27,0.06,35.3,0.11,0.14,15.94,0,0.34,0,15.69
Vitamin K (phylloquinone),µg,,,,0,,,,1.4,1.4,0.3,2.4,0.3,24.7,0.8,4.6,8,0,1.2,0,0.7
"Zinc, Zn",mg,1.35,1.35,2.26,0.49,1.66,0.56,1.35,5.71,5.71,0.91,2.1,0.7,0,2.63,4.46,0,0.06,5.27,0.01,0.01
,,,,,,,,,,,,,,,,,,,,,
**Per 100g,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Price, avg across regions",,1860.51,1683.02,1063.25,1774.58,709.23,697.81,1246.88,6061.5,1400.3,692.49,5939.92,529.04,1151.76,379.16,1335.33,1036.73,678.81,1556.84,606.09,1159.73